Test No.,models,RMSE,MAE,MSE,RMSE_avg,MAE_avg,MSE_avg
1,variance_fastcharge_basemodel,101.8938446044922,86.31198120117188,10382.35546875,104.4029327392578,86.35946197509766,10909.123046875
2,variance_fastcharge_basemodel,101.7065200805664,87.16328430175781,10344.2158203125,104.4029327392578,86.35946197509766,10909.123046875
3,variance_fastcharge_basemodel,108.6393814086914,85.09092712402344,11802.5146484375,104.4029327392578,86.35946197509766,10909.123046875
4,variance_fastcharge_basemodel,102.26349639892578,88.75431823730469,10457.8232421875,104.4029327392578,86.35946197509766,10909.123046875
5,variance_fastcharge_basemodel,107.51142120361328,84.47679901123047,11558.7060546875,104.4029327392578,86.35946197509766,10909.123046875
1,variance_normalcharge_basemodel,90.20713806152344,65.77183532714844,8137.32763671875,102.9773956298828,78.63689727783203,10884.45810546875
2,variance_normalcharge_basemodel,92.9499740600586,68.25337982177734,8639.697265625,102.9773956298828,78.63689727783203,10884.45810546875
3,variance_normalcharge_basemodel,98.54635620117188,72.12684631347656,9711.3837890625,102.9773956298828,78.63689727783203,10884.45810546875
4,variance_normalcharge_basemodel,135.91281127929688,115.57959747314452,18472.29296875,102.9773956298828,78.63689727783203,10884.45810546875
5,variance_normalcharge_basemodel,97.27069854736328,71.45282745361328,9461.5888671875,102.9773956298828,78.63689727783203,10884.45810546875
1,variance_normalcharge_transfermodel,114.79353332519533,86.53712463378906,13177.5546875,124.2703353881836,98.9548568725586,16071.3021484375
2,variance_normalcharge_transfermodel,105.83480834960938,79.10294342041016,11201.005859375,124.2703353881836,98.9548568725586,16071.3021484375
3,variance_normalcharge_transfermodel,155.6028594970703,131.01113891601562,24212.248046875,124.2703353881836,98.9548568725586,16071.3021484375
4,variance_normalcharge_transfermodel,93.20313262939452,70.7973861694336,8686.8232421875,124.2703353881836,98.9548568725586,16071.3021484375
5,variance_normalcharge_transfermodel,151.91734313964844,127.32569122314452,23078.87890625,124.2703353881836,98.9548568725586,16071.3021484375
